id,category,english,tanglish
17,waiting,"Since the flight got delayed by an hour, please tell the driver he doesn't need to wait right now.","Flight oru mani neram delay aagirathunaala, driver ippo wait pannanum nu venaam nu sollunga."
18,waiting,"I'm sorry for the delay, my previous meeting overran and I couldn't step out any earlier than this.","Delay-kku sorry, enoda mudhal meeting nera edithukiduchu, adhukku munnadi naan veliye varamudiyala."
19,directions,"Please take the flyover this time instead of the service road, since the service road usually has more traffic.","Indha thadava service road-a vidama flyover-a edunga, service road-la usually traffic jaasthi irukum."
20,directions,"After the second traffic signal, please take a right turn and continue until you see a big temple on the left.","Rendaavadhu traffic signal-kku aprom, right turn edunga, left side-la periya kovil varaikkum po."
21,directions,"There's a one-way street coming up, so please take the previous left instead of going straight.","Munnadi oru one-way street varum, so straight-a poganum nu illama adhukku munnadi left edunga."
22,directions,"Please don't follow the app's suggestion here, since that road is closed for repair work right now.","Inga app sollara route-a follow pannadheenga, andha road ippo repair work-ku close pannirukanga."
23,directions,"Once you cross the railway bridge, take the second lane on the right, not the first one.","Railway bridge cross pannadhukku aprom, right side rendaavadhu lane edunga, mudhal lane venaam."
24,directions,"This area has a lot of one-way roads, so it might be easier if I guide you turn by turn instead of using the map.","Indha area-la neriya one-way roads irukku, so map use pannadha vida naan turn by turn guide pannuradhu easy-a irukum."
25,directions,"Please slow down near the school zone ahead, since children usually cross the road around this time.","Munnadi irukura school zone pakkathula slow-a poonga, indha time-la usually kuzhandhaikal road cross pannuvanga."
26,directions,"The GPS is showing a shortcut through the narrow lane, but that road is too small for this car to pass.","GPS chinna lane-la shortcut kaattutu irukku, aana andha road indha vandi pogura alavukku chinnadhu."
27,directions,"Please continue straight past the bus stop, and I'll tell you exactly where to turn once we get closer.","Bus stop-a thaandi straight-a po, naanga pakkathula vandhadhum exact-a enga thirumbanum nu solren."
28,directions,"Instead of turning at the roundabout, please take the road just before it that leads directly to my street.","Roundabout-la thirumbadha, adhukku munnadi irukura road-a edunga, adhu direct-a enoda street-ku poidum."
29,dropoff,"Please drop me right in front of the pharmacy, not near the bus stop, since I need to pick up a prescription.","Bus stop pakkathula illama, pharmacy munnadi thaan drop pannunga, naan prescription vaanganum."
30,dropoff,"This is not the correct building, my apartment complex is the next one, about two hundred meters ahead.","Idhu correct building illa, enoda apartment complex adutha onnu, rendu nooru meter mela irukku."
31,dropoff,"Please stop the car here itself, I can walk the rest of the way since the road ahead is very narrow.","Inga thaan vandi-a nikathunga, munnadi road romba narrow-a irukurathunaala baaki naan nadanthu poiduven."
32,dropoff,"Could you drop me at the back entrance instead of the front, since the front gate is currently closed for renovation?","Front-a vidama back entrance-la drop pannalama, front gate renovation-ku ippo close pannirukanga."
33,dropoff,"Please wait for just a moment after dropping me, in case I need to come back for something I forgot.","Drop pannadhukku aprom konja neram wait pannunga, naan edho marandhadha thirumba vara vendi irundha."
34,dropoff,"This is my stop, but please pull over a little further since there's a car parked right in front of the gate.","Idhu enoda stop, aana konjam mela po, gate munnadi oru vandi park pannirukku."
35,dropoff,"Please be careful while dropping me here since the road has a small pothole right next to the curb.","Inga drop pannumbodhu konjam careful-a irukanga, curb pakkathula oru chinna pothole irukku."
36,dropoff,"I need to be dropped exactly at gate number three, since the other gates don't allow visitor entry after six.","Naan exact-a gate number moonu-la drop aaganum, vera gate-la aaru mani-kku aprom visitor entry kidaiyathu."
37,payment,"Could you confirm whether the fare shown in the app already includes the toll charges for this route?","App-la kaattura fare-la indha route-oda toll charge already add pannirukanga nu confirm pannalama?"
38,payment,"I'd prefer to pay by UPI instead of cash, so please make sure the driver has a scanner code ready.","Naan cash-a vida UPI-la pay pannuradha prefer pannuren, so driver kitta scanner code ready-a vachirukanga."
39,payment,"The final fare seems higher than what was quoted at the start, so could you explain why the difference happened?","Final fare start-la sonnadha vida jaasthi maadhiri irukku, so idhu yeppadi difference vandhuchu nu explain pannunga."
40,payment,"I don't have exact change right now, so is it possible to round off the fare to the nearest ten rupees?","Ippodhaikku enakku exact change illa, so fare-a adutha pathu rupaa-ku round off pannalama?"
41,payment,"Since the ride included a toll crossing, please add that amount separately instead of clubbing it with the base fare.","Ride-la toll crossing irundhadhunaala, andha amount-a base fare kooda clubbing pannadha, separate-a add pannunga."
42,payment,"I noticed I was charged twice for the same trip, so could you please look into this and process a refund?","Naan same trip-ku rendu thadava charge aana maadhiri paakuren, so idha paathu refund process pannunga."
43,payment,"Is there any additional charge for waiting time, or is that already included in the total fare shown?","Wait time-ku edhavadhu extra charge irukka, illana adhu already total fare-la include aayirukka?"
44,payment,"Could you send me the receipt over email as well, since I need it for reimbursement from my office?","Receipt-a email-lakum anupungala, enakku office-la reimbursement-ku vendiyathu."
45,complaints,"The driver took a much longer route than necessary, and I don't think that was intentional but I'd like it noted.","Driver venumaana route vida romba nera route edutharu, adhu intentional-a nenaikkala aana idha note pannanum nu solren."
46,complaints,"I felt the driver was on the phone for most of the ride, which made me a little uncomfortable given the traffic.","Driver ride full time-la phone-la pesikitu irundhaaru maadhiri thonuchu, traffic-la irundhathunaala enakku konjam uncomfortable-a irundhuchu."
47,complaints,"The car had a strong smell of cigarette smoke, so I'd like to request a cleaner vehicle for future rides.","Vandi-la cigarette smoke smell romba strong-a irundhuchu, so future ride-ku clean-a irukura vandi venum nu request pannuren."
48,complaints,"The driver refused to switch on the AC even though it was requested, and I'd like this to be looked into.","Request pannirundhalum driver AC podama irunthaaru, so idha paathukanum nu solren."
49,complaints,"I was charged for a cancellation even though I cancelled well within the free cancellation window shown in the app.","App-la kaattura free cancellation window-kulla cancel pannirundhalum, enakku cancellation charge podirukanga."
50,complaints,"The driver arrived nearly twenty minutes late without any prior notification, which caused me to miss my appointment.","Driver munnadi edhuvum sollama almost irubathu nimisham late-a vandhaaru, adhunaala enoda appointment miss aayiduchu."
51,complaints,"The vehicle that arrived didn't match the number plate shown in the app, so I was initially hesitant to board.","Vandha vandi-oda number plate app-la kaattura number plate-oda match aagala, so mudhalla naan erika hesitate pannen."
52,complaints,"I'd like to raise a concern about the driver's rash driving, especially near the school zone we passed earlier.","Driver-oda rash driving-a pathi oru concern raise pannanum, especially naanga cross pannina school zone pakkathula."
53,traffic,"There's a huge traffic jam near the flyover because of an accident, so it might take an extra twenty minutes.","Flyover pakkathula accident irundhadhunaala periya traffic jam irukku, so extra irubathu nimisham aagalam."
54,traffic,"Since there's a VIP movement expected on the main road, it might be better to take the bypass route instead.","Main road-la VIP movement irukum nu expect pannuvanga, so adhukku badhila bypass route edukurathu nallaadhu."
55,traffic,"The signal near the junction has been down for a while, so traffic is being managed manually and moving slowly.","Junction pakkathula signal konja neramaaga work aagala, so traffic manual-a manage panniyum slow-a poitu irukku."
56,traffic,"Because of the ongoing metro construction work, this stretch of road has been reduced to a single lane.","Metro construction work nadakkurathunaala, indha road stretch single lane-a reduce aayirukku."
57,traffic,"There seems to be a protest happening near the college, so a few roads in that area are currently blocked.","College pakkathula protest nadakkura maadhiri irukku, so andha area-la konjam roads block aayirukku."
58,traffic,"Since it's peak office hour right now, please expect the ride to take almost double the usual time.","Ippo peak office hour-nala, usual time-a vida almost double time aagum nu expect pannunga."
59,multistop,"We need to make one quick stop at the pharmacy on the way, it shouldn't take more than five minutes.","Vazhila oru pharmacy-la chinna stop pannanum, ainthu nimishathukku mela edukkathu."
60,multistop,"My friend will also be joining midway, so please stop near the bus stand after the second signal.","Enoda friend kooda naduvula erikuvaru, so rendaavadhu signal-kku aprom bus stand pakkathula nikkunga."
61,multistop,"Since this is a shared ride, please confirm if the other passenger is being picked up before or after me.","Idhu shared ride-nala, vera passenger-a enakku munnadiya illana pinnadiya pick pannuvanga nu confirm pannunga."
62,multistop,"We have two drop points on this trip, so please drop me first since my location is closer.","Indha trip-la rendu drop point irukku, enoda location pakkathula irukurathunaala enna mudhalla drop pannunga."
63,multistop,"Could you wait for two minutes at the ATM, I just need to withdraw some cash before we continue.","ATM-la rendu nimisham wait pannalama, naan konjam cash edukanum, appuram continue pannalam."
64,safety,"Please make sure the child lock is on for the back seat since I have a toddler traveling with me.","Back seat-la child lock on-a irukanum, enakooda oru chinna kuzhandhai varudhu."
65,safety,"Could you drive a little more carefully around the speed bumps, since I'm feeling a bit motion sick today.","Speed bump pakkathula konjam careful-a drive pannunga, enakku indha naeku konjam motion sickness maadhiri irukku."
66,safety,"Please avoid using the phone while driving, it makes me a little nervous especially in this traffic.","Drive pannumbodhu phone use pannadheenga, adhu enna konjam nervous-a pannuthu, especially indha traffic-la."
67,safety,"Since it's raining heavily, please keep the wipers on and drive a bit slower than usual.","Romba mazhai peiyurathunaala, wiper on-a vachitu usual-a vida konjam slow-a drive pannunga."
68,safety,"I noticed the seatbelt in the back seat isn't working properly, could you please help me fix it?","Back seat-la seatbelt properly work aagala, idha fix panna help pannunga."
69,safety,"Please roll up the windows a little since the dust from the construction site is coming inside the car.","Construction site-la irundhu dust ulla varudhu, so window-a konjam mela pottukanga."
70,cancellation,"I need to cancel this ride since my plans changed suddenly, I hope there's no cancellation charge this time.","Enoda plans suddenly change aanadhunaala indha ride-a cancel pannanum, indha thadava cancellation charge illama irukum nu nenaikuren."
71,cancellation,"The driver isn't moving on the map at all, so I think I should cancel and book a new ride instead.","Driver map-la ippadiye nikkuraru, so naan cancel pannitu vera oru ride book pannuradhu nallaadhu nu nenaikuren."
72,cancellation,"Could you please rebook the ride with a different driver, since this one seems to be stuck somewhere far away.","Vera driver-a vachu ride-a rebook pannalama, indha driver romba dhooram edho stuck aayirukura maadhiri irukku."
73,cancellation,"I accidentally booked the wrong pickup location, so could you help me cancel this without any penalty?","Naan thappa vera pickup location book pannitten, so idha penalty illama cancel panna help pannunga."
74,cancellation,"Since the estimated wait time keeps increasing, I think it's better to cancel and try booking again later.","Estimated wait time continuous-a jaasthi aagirathunaala, cancel pannitu appuram vera try pannuradhu nallaadhu nu nenaikuren."
75,cancellation,"The driver called and asked me to cancel from my end because of some issue with his vehicle.","Driver call pannitu, vandi-la edho issue irukku so enoda side-la irundhu cancel pannunga nu kettaru."
76,otp,"Could you please share the OTP with the driver so he can confirm and start the trip officially?","Driver-kitta OTP sollunga, avaru confirm pannitu trip-a officially start pannuvaaru."
77,otp,"I haven't received the OTP yet, could you resend it or check if there's a network issue on my end?","Enakku innum OTP varala, mela onnu anupunga illana enoda side-la network issue irukka nu check pannunga."
78,otp,"The OTP the driver entered doesn't match what's showing on my screen, so could we try generating a new one?","Driver podra OTP enoda screen-la kaattura OTP-oda match aagala, so pudhusa oru OTP generate pannalama?"
79,otp,"Please don't start the trip until I confirm the OTP, since I want to make sure this is the correct vehicle.","Naan OTP confirm pannura varaikkum trip start pannadheenga, idhu correct vandi thaana nu naan sure pannikanum."
80,otp,"Since my phone signal is weak right now, it might take a minute for the OTP message to actually reach me.","Ippo enoda phone signal weak-a irukurathunaala, OTP message vara oru nimisham aagalam."
81,luggage,"I have two large suitcases with me, so could you please check if there's enough space in the boot?","En kitta rendu periya suitcase irukku, so boot-la pothuma space irukka nu check pannunga."
82,luggage,"Please be careful while lifting the bag into the boot, since it has some fragile items packed inside.","Bag-a boot-la vekkumbodhu careful-a irukanga, adhukulla konjam fragile items pack pannirukken."
83,luggage,"Could you help me take the bags out once we reach, since I'll have my hands full with the other items?","Naanga reach aanadhum bag-a edukka help pannunga, en kaila vera items irukum."
84,app,"The app is stuck on the searching screen for the last five minutes and hasn't matched a driver yet.","App kadaisi ainthu nimishama searching screen-la stuck aayirukku, innum driver-a match pannala."
85,app,"My location on the app seems to be pinned to a completely different area than where I actually am.","App-la enoda location naan actual-a irukura area vida completely vera area-la pin aayirukku."
86,app,"The estimated arrival time keeps changing every few seconds, so I'm not sure how long I should actually wait.","Estimated arrival time konja nimishathukku onnu maari maari irukku, so exact-a evlo neram wait pannanum nu theriyala."
87,weather,"Since the road is completely flooded near the underpass, could you take an alternate route to avoid it?","Underpass pakkathula road completely flood aayirukurathunaala, adha avoid panna alternate route edunga."
88,emergency,"This is somewhat urgent since I have a flight to catch in an hour, so please try to take the fastest route possible.","Idhu konjam urgent, oru mani neram-la enakku flight irukku, so mudinjavarai fastest route-a edunga."
89,courtesy,"Thank you so much for waiting patiently, I really appreciate you accommodating the delay on my end.","Patience-a wait pannadhukku romba nandri, enoda delay-a accommodate pannadhukku really appreciate pannuren."
90,courtesy,"I hope the rest of your day goes smoothly, and thanks again for getting me here safely despite the traffic.","Unga naeku baaki nalla poga vendum nu nenaikuren, traffic-la irundhalum enna safe-a kuttitu vandhadhukku romba nandri."
