kind,id,token,phonetic,gloss,category,rule_tag,note
phrase,front_back_gate,"naan front gate-la irukken, neenga back gate-la irukinga","naan front gate-la i-ru-ken, neen-ga back gate-la i-ru-king-a",,pickup,,
phrase,urgent,urgent-a poganum,ur-gent-a po-ga-num,,emergency,,
phrase,come_fast,fast-a vaanga,fast-a vaan-ga,,emergency,,
phrase,flight_miss,late aayiducha flight miss aagum,late aa-yi-thu-cha flight miss aa-gum,,emergency,,
phrase,hospital_fast,hospital-ku fast-a po,hos-pi-tal-ku fast-a po,,emergency,,
phrase,emergency,emergency irukku,e-mer-gen-cy i-ruk-ku,,emergency,,
phrase,konja_nerathula_stop,konja nerathula stop pannitu iruken,kon-ja ne-ra-thu-la stop pan-nit i-ru-ken,,passenger_request,,
phrase,passenger_two_entrances_confirm,"Naan ipo apartment complex veliye security gate pakkathula nikkuren, aana indha road-la rendu entrance irukkurathunala, driver confuse aagi thappu gate-ku poaradhukku munnadi, avaru eppadi vara pora nu confirm pannunga.","naan i-po apartment complex ve-li-ye security gate pa-ka-thu-la nik-ku-ren, aa-na in-tha road-la ren-du entrance i-ruk-ku-ra-thu-na-la, dry-vur con-fuse aa-gi thap-pu gate-ku po-aa-ra-thuk-ku mun-na-di, a-va-ru ep-pa-di va-ra po-ra nu con-firm pan-nun-ga",,passenger_request,,
phrase,cancel_pannunga,cancel pannunga,can-cel pan-nun-ga,,verb,,
token,,reject panniruaru,re-ject pan-ni-ru-aa-ru,has rejected,verb,,
token,,adjust pannunga,ad-just pan-nun-ga,please adjust,verb,,
token,,kammi pannunga,kam-mi pan-nun-ga,reduce,verb,,
token,,refresh pannunga,re-fresh pan-nun-ga,please refresh,verb,,
token,,pannitrukken,pan-nit-ruk-ken,have done (UPI etc.),verb,,
token,,pannuraru,pan-nu-ra-ru,is doing (3rd person),verb,,
token,,vandhuduchu,van-thu-du-chu,has arrived,verb,,
token,,vandhutaru,van-thu-ta-ru,he/she has arrived,verb,,
token,,vandhutten,van-thut-ten,I have arrived,verb,,
token,,vantutten,van-tut-ten,I have arrived (casual),verb,,
token,,vandhuruvaanga,van dhu ru vaan ga,will arrive (hon.),verb,,
token,,vandhuruvaan,van dhu ru vaan,will arrive,verb,,
token,,vandhuruvaru,van-dhu-ru-va-ru,will arrive (3rd),verb,,
token,,kaathurukanga,kaa-thu-ru-kang-a,are waiting,verb,,
token,,poruthungo,po-ru-thun-go,please wait,verb,,
token,,mattengaru,mat-teng-a-ru,he refuses/won't,verb,,
token,,aayiduchu,aa-yi-du-chu,has already happened,verb,,
token,,aagiruchu,aa-gi-ru-chu,has happened,verb,,
token,,mudiyathu,mu-di-ya-thu,can't / not possible,verb,,
token,,nikathunga,nik-ka-thun-ga,make it stop (polite),verb,,
token,,nikathu,nik-ka-thu,make it stop,verb,,
token,,nikkunga,nick-kung-a,"stop (vehicle, polite)",verb,,
token,,nillunga,nil-lun-ga,stand (formal polite),verb,,
token,,nilunge,ni-lung-e,stand (casual polite),verb,,
token,,sollunga,sol-lun-ga,tell (polite imperative),verb,,
token,,sollung,sol-lung,tell (casual imperative),verb,,
token,,sollaren,sol-la-ren,I'll tell,verb,,
token,,sollu,sol-lu,tell (root imperative),verb,,
token,,pannunga,pan-nun-ga,do/make (polite imperative),verb,,
token,,pannitu,pan-ni-thu,having done (full),verb,,
token,,pannit,pan-nit,having done (elided),verb,,
token,,panni,pan-ni,having done (pre-verb),verb,,
token,,pannanum,pa-na-num,must do,verb,,
token,,irukkaaru,i-ruk-kaa-ru,he/she is (hon.),verb,,
token,,irukkaru,i-ruk-ka-ru,he/she is,verb,,
token,,irukken,ih-roo-kehn,am/is (standard),verb,,
token,,iruken,i-ru-ken,am/is (casual),verb,,
token,,irundhu,i-run-dhu,from / after,verb,,
token,,thirumbu,thi-rum-bu,turn,verb,,
token,,thappa iruku,thap-pa i-ru-ku,is wrong,verb,,
token,,thappana,thap-pa-na,wrong (adj.),descriptor,,
token,,pakkathula,pak-ka-thu-la,nearby (formal),locative,,
token,,pakathule,pa-ka-thu-le,nearby,locative,,
token,,pakkathule,pa-ka-thu-le,nearby,locative,,
token,,nerathula,ne-ra-thu-la,for a while,time,,
token,,office-la,of-fice-la,at the office,place,,
token,,entrance-le,entrance-le,at the entrance,place,,
token,,konja nerathula,kon-ja ne-ra-thu-la,for a little while,time,,
token,,konja neram,kon-ja ne-ram,a little time,time,,
token,,innum office-la,in-num of-fice-la,still at the office,place,,
token,,innum ethana nimisham,in-num e-tha-na ni-mi-sham,still how many minutes,time,,
token,,driver kitta,dry-vur kit-ta,near the driver,locative,,
token,,building kitta,building kit-ta,near the building,locative,,
token,,gate kitta,gate kit-ta,near the gate,locative,,
token,,gate kitte,gate kit-te,near the gate (vowel),locative,,
token,,eththanai,et-tha-nai,how many (formal),time,,
token,,nimisham,ni-mi-sham,minute,time,,
token,,konjam,kon-jam,a little (full),time,,
token,,konja,kon-ja,a little (casual),time,,
token,,already,al-red-y,already,time,,
token,,ethana,e-tha-na,how many,time,,
token,,neram,ne-ram,time,time,,
token,,rendu,ren-du,two,time,,
token,,innum,in-num,still/more,time,,
token,,left-a,left-a,to the left,directional,,
token,,straight,straight,straight,directional,,
token,,flyover,fly-o-ver,flyover,loanword,,
token,,short cut,short cut,shortcut,loanword,,
token,,oram,o-ram,side,directional,,
token,,vazhi,va-zhi,road/way,directional,,
token,,mela,me-la,above/over,directional,,
token,,appadi,ap-pa-di,like that,discourse,,
token,,appuram,ap-pu-ram,after that,discourse,,
token,,inga,in-ga,here,directional,,
token,,enga,eng-ga,where,directional,,
token,,pinnaadi,pin-naa-di,behind,directional,,
token,,munnadi,mun-na-di,in front,directional,,
token,,kitta,kit-ta,near,locative,,
token,,kitte,kit-te,near (vowel),locative,,
token,,gaadi,gaa-di,vehicle (deprecated),vehicle,,
token,,vandi,van-di,vehicle/car,vehicle,,
token,,driver,dry-vur,driver,loanword,,
token,,building,bil-ding,building,loanword,,
token,,address,address,address,loanword,,
token,,number,num-ber,number,loanword,,
token,,phone,phone,phone,loanword,,
token,,neenga,neen-ga,you (polite),pronoun,,
token,,neenga sonna,neen-ga son-na,you said,verb,,
token,,sonna,son-na,said/told,verb,,
token,,naan,naan,I,pronoun,,
token,,aana,aa-na,but/however,discourse,,
token,,thaan,thaan,emphatic only,discourse,,
token,,nandri,nan-dri,thank you,discourse,,
token,,anna,ann-uh,"brother (respectful, elder)",address,,Taxi address அண்ணா; TTS ann-uh not AH-na
token,,saar,saar,sir,address,,Most common respectful address in Tamil Nadu
token,,sir,sir,sir,address,,English loanword; used with saar
token,,thambi,tham-bi,brother (younger),address,,Younger male addressee
token,,bro,bro,brother (casual loanword),address,,Peers; rare driver-passenger
token,,illa,il-la,no/not there,negation,,
token,,aagala,aa-ga-la,didn't happen,verb,,
token,,aaguthu,aa-gu-thu,is happening,verb,,
token,,aagum,aa-gum,will happen,verb,,
token,,varuthu,va-ru-thu,is coming,verb,,
token,,varum,va-rum,will come,verb,,
token,,vara,va-ra,to come,verb,,
token,,varen,va-ren,I will come,verb,,
token,,varala,va-ra-la,won't come / hasn't come,verb,,
token,,vandhu,van-thu,having come,verb,,
token,,vantu,van-tu,having come (casual),verb,,
token,,ponaru,po-naa-ru,he went,verb,,
token,,poitaru,poi-ta-ru,he went,verb,,
token,,po,po,go,verb,,
token,,edu,e-du,take,verb,,
token,,edukka,e-duk-ka,to take/pick up,verb,,
token,,nillu,nil-lu,stand (bare),verb,,
token,,nikku,nik-ku,stop (bare),verb,,
token,,pannu,pan-nu,do (casual imperative),verb,,
token,,irukka,i-ruk-ka,is (question),verb,,
token,,iruka,i-ru-ka,is (casual),verb,,
token,,irukku,i-ruk-ku,it is / there is,verb,,
token,,venum,ve-num,need/want,verb,,
token,,marandhu,ma-ran-thu,forgot,verb,,
token,,vittuten,vit-tu-ten,I left (something),verb,,
token,,peiyuthu,pey-yu-thu,is raining,verb,,
token,,mazhai peiyuthu,ma-zhai pey-yu-thu,it's raining,weather,,
token,,theriyuma,the-ri-yu-ma,do you know,verb,,
token,,yosikamale,yo-si-ka-ma-le,without thinking,verb,,
token,,maathunga,maa-thun-ga,change,verb,,
token,,pottukalama,pot-tu-ka-la-ma,can I close,verb,,
token,,poganum,po-ga-num,need to go,verb,,
token,,eduthutinga,e-thu-thu-ting-a,did you take out,verb,,
token,,cancel pannunga,can-cel pan-nun-ga,please cancel,verb,,
token,,cancel pannitaru,can-cel pan-ni-ta-ru,cancelled (3rd person),verb,,
token,,venaam,ve-naam,don't need / not wanted,negation,,
token,,ellikalama,el-li-ka-la-ma,is it allowed,verb,,
token,,potukalama,po-thu-ka-la-ma,can you play/put,verb,,
token,,pannikalama,pan-ni-ka-la-ma,can I do,verb,,
token,,kudukanuma,ku-du-ka-nu-ma,should I give/pay,verb,,
token,,kudunga,ku-dung-a,please give,verb,,
token,,vekkunga,vek-kung-a,please put,verb,,
token,,podunga,po-dung-a,please drop/put,verb,,
token,,vaanga,vaan-ga,please come,verb,,
token,,traffic,traf-fic,traffic,loanword,,
token,,gate,gate,gate,loanword,,
token,,cash,cash,cash,loanword,,
token,,change,change,change,loanword,,
token,,speed,speed,speed,loanword,,
token,,U-turn,U-turn,U-turn,loanword,,
token,,wait,wait,wait,loanword,,
token,,call,call,call,loanword,,
token,,ok,ok,ok,loanword,,
token,,shortcut,short-cut,shortcut,loanword,,
token,,emergency,e-mer-gen-cy,emergency,loanword,,
token,,paravalinga,pa-ra-va-ling-a,it's okay,courtesy,,
token,,romba nandri,rom-ba nan-dri,thank you so much,courtesy,,
